526,69,-154,20
260,-316,-211,52
530,-172,71,274
495,-315,-558,312
444,567,-347,280
-294,479,43,194
-569,110,551,76
-374,320,-301,83
-114,112,-114,358
-472,-11,121,130
-283,147,-184,131
92,97,515,176
16,185,-316,136
301,-87,-47,65
24,136,-416,198
115,402,196,120
-34,299,-95,199
220,-110,306,215
-530,-497,337,21
188,239,-335,304
-274,165,-184,274
535,-431,205,337
-116,-79,169,159
-77,-424,93,240
-48,-178,-55,189
165,168,-294,143
223,424,-97,318
-273,-428,-173,121
-474,292,-298,43
125,342,188,189
421,-281,-155,306
-406,-137,139,221
-291,-106,198,270
249,240,379,24
234,316,59,329
-160,-287,141,57
-207,-183,-141,183
485,-27,-497,207
-129,291,275,26
255,-408,540,143
376,360,-142,103
159,-379,117,58
-487,421,219,85
148,99,509,32
-363,484,314,294
166,-261,-99,343
-269,174,129,181
34,27,329,313
226,-331,403,285
319,-171,508,114
316,500,181,286
44,307,-235,146
-94,476,-493,304
95,407,309,22
455,108,-385,287
-324,45,98,293
451,-1,67,177
-232,301,231,51
277,-369,91,105
344,-263,10,251
302,27,379,117
265,94,133,106
68,81,348,17
-10,-81,-12,314
-224,-184,-181,88
93,-253,170,73
-121,-454,87,82
-85,-319,-300,142
263,157,-558,305
232,-221,163,170
-499,350,-365,282
74,234,282,315
20,-398,500,33
91,321,-286,25
207,269,-177,67
-178,-376,15,240
-27,105,222,41
-266,20,-518,108
-312,64,-277,157
149,-216,327,72
57,-477,30,20
-536,-78,-180,358
268,-119,-220,146
108,451,76,65
-391,358,510,295
-470,-153,-306,56
-499,-160,399,195
86,217,373,300
371,152,-12,19
-28,-285,-318,262
343,391,132,241
-104,369,208,51
-155,489,314,55
117,-445,-169,118
-484,-65,-69,124
-537,10,96,14
199,24,114,91
-70,414,-22,11
267,66,-155,238
121,94,-122,107
388,-66,361,16
313,-110,282,77
299,383,-276,132
-167,-204,-160,185
-148,-184,174,284
292,-360,117,156
-271,191,103,37
497,202,152,55
112,160,-118,110
-548,62,431,311
-294,146,90,42
-331,-324,274,113
346,-115,-412,60
-66,-152,240,225
-489,-118,279,115
-115,-220,269,285
445,500,348,328
-408,-87,-168,302
133,299,-98,254
-190,-171,-107,22
11,-284,-123,331
47,78,228,270
-318,52,396,307
-437,51,-139,188
-115,294,168,201
-310,-74,-121,360
160,-319,-16,292
373,98,383,65
-211,209,-123,149
-83,205,85,114
-438,47,-353,222
159,465,-317,151
53,406,286,303
508,30,440,19
431,448,-368,18
79,52,-490,208
-172,76,226,224
-235,-202,-376,35
3,-296,-97,277
-72,-400,-182,35
522,192,267,166
-212,195,-389,56
-218,180,73,106
-95,429,-193,19
464,408,470,278
43,29,346,62
-354,-56,21,313
352,379,350,258
-518,21,367,273
-305,385,93,274
-173,509,453,123
152,520,169,42
-72,369,31,63
133,-108,-40,280
76,13,263,210
-29,-227,-31,15
-505,-32,-27,197
-391,-439,336,174
246,286,-111,202
-489,-6,422,31
298,-299,27,258
-230,-50,-394,109
-504,-295,-203,215
196,-130,70,129
501,-497,281,306
-107,194,99,172
255,18,-119,38
-221,8,-210,59
-350,92,71,348
-189,-110,-291,36
295,364,6,117
-168,82,-208,276
-120,-315,65,176
305,110,-315,213
-121,-307,287,145
-146,-509,75,112
47,309,178,136
363,499,-166,202
-306,431,204,129
-307,175,-282,282
-306,-273,-206,69
332,-217,-355,112
-63,-409,-468,150
-92,-259,-174,207
51,284,-375,211
-95,246,14,36
-457,-186,-253,30
138,61,209,171
-10,383,-342,202
-151,-228,-517,264
387,223,-88,196
-269,515,282,172
71,431,279,39
-254,-235,19,299
211,-44,121,170
-64,390,217,354
-391,57,-308,285
-114,174,430,228
459,316,5,201
306,93,-202,303
76,438,32,214
26,465,-125,247
-262,-205,201,226
-128,56,-210,61
6,520,110,37
-477,292,194,206
-50,-284,-249,130
-20,-84,-381,100
-98,173,160,59
-146,-314,97,241
57,156,-30,104
-438,292,-230,235
-328,373,-206,356
-75,0,-176,46
-130,-175,236,106
122,-214,-479,141
-87,309,198,199
250,-226,245,315
280,372,215,91
43,37,-332,98
329,256,311,278
392,112,432,108
304,126,59,160
-247,241,239,10
-38,308,-82,82
437,-146,-444,245
74,363,-520,287
-127,-170,35,247
164,188,-407,288
353,303,-380,94
-371,-425,370,197
-163,-106,-32,72
-402,480,-234,202
227,352,-112,322
49,197,162,47
-105,-469,39,230
